site,slug,WebApplication,SoftwareApplication,FAQPage,BreadcrumbList,HowTo
BC,/,True,False,False,False,False
BC,about,False,False,False,True,False
BC,blog,False,False,False,True,False
BC,blog/amazon-fba-fees-explained,False,False,False,True,False
BC,blog/break-even-analysis-examples,False,False,False,True,False
BC,blog/cash-flow-management-small-business,False,False,False,True,False
BC,blog/cost-plus-pricing-explained,False,False,False,True,False
BC,blog/discount-pricing-strategy,False,False,False,True,False
BC,blog/ebitda-vs-net-profit,False,False,False,True,False
BC,blog/employee-vs-contractor-cost-comparison,False,False,False,True,False
BC,blog/etsy-seller-fees-explained,False,False,False,True,False
BC,blog/freelance-rates-by-industry-uk,False,False,False,True,False
BC,blog/gross-profit-vs-net-profit,False,False,False,True,False
BC,blog/how-business-loans-work,False,False,False,True,False
BC,blog/how-much-to-charge-as-freelancer,False,False,False,True,False
BC,blog/how-to-calculate-break-even-point,False,False,False,True,False
BC,blog/how-to-calculate-roi-for-marketing,False,False,False,True,False
BC,blog/how-to-reduce-cost-per-unit,False,False,False,True,False
BC,blog/how-to-value-a-business-to-sell,False,False,False,True,False
BC,blog/payback-period-vs-roi,False,False,False,True,False
BC,blog/profit-margin-vs-markup-difference,False,False,False,True,False
BC,blog/revenue-growth-benchmarks,False,False,False,True,False
BC,blog/sba-loan-vs-conventional-loan,False,False,False,True,False
BC,blog/startup-runway-burn-rate-guide,False,False,False,True,False
BC,blog/true-cost-of-an-employee,False,False,False,True,False
BC,blog/uk-invoice-requirements,False,False,False,True,False
BC,blog/value-based-pricing-vs-cost-plus,False,False,False,True,False
BC,blog/what-is-a-good-profit-margin,False,False,False,True,False
BC,break-even-calculator,False,True,True,True,True
BC,burn-rate-calculator,False,True,True,True,True
BC,business-loan-calculator,False,True,True,True,True
BC,business-valuation-calculator,False,True,True,True,True
BC,cash-flow-calculator,False,True,True,True,True
BC,contact,False,False,False,True,False
BC,cookies,False,False,False,True,False
BC,cost-per-unit-calculator,False,True,True,True,True
BC,disclaimer,False,False,False,True,False
BC,disclosure,False,False,False,True,False
BC,discount-calculator,False,True,True,True,True
BC,ecommerce-profit-calculator,False,True,True,True,True
BC,editorial-policy,False,False,False,True,False
BC,employee-cost-calculator,False,True,True,True,True
BC,freelance-rate-calculator,False,True,True,True,True
BC,invoice-calculator,False,True,True,True,True
BC,markup-calculator,False,True,True,True,True
BC,net-profit-calculator,False,True,True,True,True
BC,payback-period-calculator,False,True,True,True,True
BC,pricing-calculator,False,True,True,True,True
BC,privacy,False,False,False,True,False
BC,profit-margin-calculator,False,True,True,True,True
BC,revenue-growth-calculator,False,True,True,True,True
BC,roi-calculator,False,True,True,True,True
BC,search,False,False,False,True,False
BC,terms,False,False,False,True,False
BC,topics/break-even-and-cash-flow,False,False,True,True,False
BC,topics/freelance-and-hiring,False,False,True,True,False
BC,topics/funding-and-valuation,False,False,True,True,False
BC,topics/profit-and-pricing,False,False,True,True,False
FC,/,False,False,False,False,False
FC,about,False,False,False,True,False
FC,blog,False,False,False,True,False
FC,budget,True,False,True,True,True
FC,compound-interest,True,False,True,True,True
FC,contact,False,False,False,True,False
FC,cookies,False,False,False,True,False
FC,credit-card-payoff,True,False,True,True,True
FC,disclosure,False,False,False,True,False
FC,editorial-policy,False,False,False,True,False
FC,emergency-fund,False,True,True,True,True
FC,glossary,False,False,False,True,False
FC,inflation-impact,False,True,True,True,True
FC,investment-growth,True,False,True,True,True
FC,loan-payoff,True,False,True,True,True
FC,mortgage,True,False,True,True,True
FC,net-worth,True,False,True,True,True
FC,personal-finance-calculators,False,False,False,True,False
FC,privacy,False,False,False,True,False
FC,retirement-savings,True,False,True,True,True
FC,sa-tax-calculator,True,False,True,True,False
FC,savings-goal,True,False,True,True,True
FC,search,False,False,False,True,False
FC,stamp-duty-calculator,True,False,True,True,False
FC,take-home-pay,True,False,True,True,True
FC,take-home-pay-comparison,True,False,True,True,False
FC,terms,False,False,False,True,False
